timestamp,battery_id,test_type,voltage,current,temperature,capacity,retention_rate,cycle_number,status,duration_minutes
2025-06-16 14:33:00,BAT_016,cycle,3.642,2.166,24.8,2847.2,82.08,97,pass,64
2025-06-29 12:35:00,BAT_006,impedance,3.79,1.626,30.5,2539.6,71.51,42,pending,133
2025-06-14 06:52:00,BAT_002,charge,3.69,2.776,25.6,2369.7,73.48,227,pending,52
2025-06-25 10:17:00,BAT_016,cycle,3.349,2.058,25.8,2403.2,79.56,262,pass,38
2025-06-28 02:26:00,BAT_006,cycle,4.043,2.59,23.2,2435.9,77.12,167,pass,63
2025-06-03 09:02:00,BAT_014,impedance,3.926,2.034,24.7,2584.8,80.5,436,fail,157
2025-06-03 15:17:00,BAT_015,charge,3.937,3.03,26.5,2604.6,82.45,279,pass,33
2025-07-04 14:35:00,BAT_015,charge,3.427,2.878,,2385.3,86.24,89,pass,131
2025-06-15 20:19:00,BAT_010,cycle,4.121,1.876,18.3,2495.1,81.44,379,pass,104
2025-06-08 21:57:00,BAT_012,discharge,3.279,2.486,28.7,2928.5,85.89,178,pending,128
2025-07-31 10:09:00,BAT_002,cycle,3.876,2.323,25.9,2845.5,82.52,427,pass,101
2025-07-16 10:50:00,BAT_012,cycle,4.357,2.684,24.1,2587.3,66.2,403,fail,32
2025-07-11 00:47:00,BAT_003,cycle,3.403,1.518,25.1,2507.6,74.49,197,pending,171
2025-07-28 16:18:00,BAT_020,cycle,3.53,2.343,26.7,2524.0,80.85,307,pass,63
2025-07-04 08:11:00,BAT_003,impedance,3.73,2.529,22.3,2622.7,72.32,267,pass,74
2025-07-10 16:08:00,BAT_014,charge,3.549,1.121,21.1,2295.4,86.8,268,pass,90
2025-07-03 13:23:00,BAT_006,impedance,3.235,1.408,26.0,2448.5,94.25,74,pass,112
2025-07-22 15:04:00,BAT_014,impedance,3.721,0.98,20.1,2166.3,91.75,8,pass,152
2025-06-22 16:57:00,BAT_015,impedance,3.381,1.865,27.0,2579.8,80.29,408,fail,131
2025-06-29 12:17:00,BAT_005,cycle,3.842,2.359,16.5,2629.4,93.93,476,pass,45
2025-06-11 15:53:00,BAT_014,discharge,3.424,2.751,30.1,2403.4,83.19,297,pending,95
2025-07-08 17:25:00,BAT_007,charge,4.165,2.037,27.4,2814.8,79.3,164,pass,174
2025-07-12 10:25:00,BAT_013,discharge,3.465,2.814,26.3,2254.8,77.09,485,pass,148
2025-07-02 07:06:00,BAT_018,impedance,3.603,1.31,29.9,2207.1,79.58,85,pass,153
2025-07-29 15:08:00,BAT_016,impedance,3.944,1.148,33.3,2544.9,78.89,72,pass,173
2025-07-09 08:02:00,BAT_004,discharge,3.331,1.972,30.1,2709.4,83.36,55,fail,131
2025-06-14 10:34:00,BAT_019,discharge,3.768,2.192,15.8,2836.8,83.28,393,pass,95
2025-07-04 16:41:00,BAT_008,discharge,4.092,1.984,18.6,2408.2,82.02,47,pass,42
2025-07-28 12:41:00,BAT_014,impedance,3.218,0.966,21.9,2715.7,85.5,399,pass,140
2025-07-01 16:09:00,BAT_011,impedance,3.755,1.955,25.1,2492.3,91.53,432,pass,63
2025-07-20 11:47:00,BAT_017,charge,3.778,1.348,27.6,2465.5,89.6,238,pass,68
2025-07-04 08:19:00,BAT_004,charge,3.935,2.335,21.4,2676.7,70.12,104,pass,165
2025-06-26 10:44:00,BAT_003,impedance,3.329,2.183,25.9,2630.5,61.57,210,pending,149
2025-07-26 16:09:00,BAT_012,discharge,3.304,1.53,21.2,2184.7,89.47,42,pass,155
2025-07-12 08:39:00,BAT_005,discharge,3.857,1.743,21.9,2795.3,71.06,316,fail,84
2025-06-30 08:51:00,BAT_009,charge,3.789,1.47,18.0,,80.2,468,pass,56
2025-07-21 05:14:00,BAT_002,impedance,3.775,1.969,20.4,2374.9,72.64,454,pass,147
2025-06-09 17:28:00,BAT_010,charge,3.804,2.478,18.2,2579.2,67.58,268,pass,82
2025-06-23 12:37:00,BAT_016,charge,3.496,1.507,,2598.8,86.33,386,pass,68
2025-07-11 17:36:00,BAT_005,cycle,3.77,2.252,30.3,2552.1,88.07,263,pass,94
2025-06-30 03:10:00,BAT_019,cycle,3.788,1.735,20.3,2389.9,77.39,336,pass,174
2025-06-03 10:54:00,BAT_003,cycle,3.486,1.604,38.2,2365.7,61.27,387,pass,42
2025-06-18 09:02:00,BAT_007,discharge,4.26,1.946,27.5,2494.9,77.63,365,pass,50
2025-07-01 09:39:00,BAT_013,impedance,3.842,1.482,25.9,,85.13,259,pass,176
2025-06-21 16:08:00,BAT_012,impedance,3.343,1.723,20.7,2608.7,70.17,283,pending,82
2025-07-22 07:10:00,BAT_007,impedance,3.897,1.401,28.5,2425.9,83.47,114,pass,48
2025-06-09 14:49:00,BAT_016,impedance,3.408,2.982,22.1,2654.3,81.88,363,pass,86
2025-06-07 08:35:00,BAT_013,cycle,3.936,2.018,25.6,1930.3,86.63,40,pass,54
2025-06-23 06:41:00,BAT_004,discharge,4.048,1.65,37.8,2729.8,82.96,486,pass,60
2025-07-18 15:30:00,BAT_008,discharge,3.454,2.107,24.5,2152.1,74.22,417,pass,110
2025-07-01 10:49:00,BAT_008,cycle,3.989,1.944,30.7,2427.5,91.57,220,pass,52
2025-06-04 15:13:00,BAT_014,discharge,3.824,1.89,21.5,2276.1,80.73,129,pass,61
2025-06-27 22:00:00,BAT_010,cycle,3.947,2.307,24.8,2241.1,81.78,8,pass,103
2025-06-07 15:03:00,BAT_018,impedance,4.269,2.379,33.9,2732.2,74.53,101,pass,39
2025-06-06 17:10:00,BAT_004,cycle,3.626,1.735,21.9,2406.5,78.45,416,pass,83
2025-06-08 10:24:00,BAT_006,impedance,3.474,1.712,34.1,2569.3,74.92,380,pass,81
2025-07-09 23:55:00,BAT_008,impedance,3.433,1.862,28.5,2490.6,80.62,176,pass,177
2025-06-13 11:08:00,BAT_014,charge,3.455,0.849,22.2,2595.4,95.69,107,pass,143
2025-06-03 15:54:00,BAT_007,cycle,3.677,1.242,,2515.4,71.02,101,fail,43
2025-06-07 18:11:00,BAT_001,charge,3.802,2.683,29.9,2243.4,69.09,260,pass,139
2025-06-24 18:12:00,BAT_003,cycle,3.783,2.822,28.1,2699.3,93.77,478,pass,82
2025-07-10 14:40:00,BAT_006,cycle,3.948,1.875,17.1,2401.2,80.33,454,pass,108
2025-06-20 11:12:00,BAT_020,charge,3.704,2.288,21.4,2188.7,76.65,366,pending,51
2025-07-25 16:20:00,BAT_019,charge,4.136,2.156,23.8,2414.4,90.32,246,pass,59
2025-06-20 09:45:00,BAT_016,cycle,3.621,3.539,24.6,2800.2,77.16,275,pass,33
2025-07-25 17:55:00,BAT_004,discharge,4.516,2.56,28.1,2670.0,96.61,32,pass,88
2025-06-06 15:10:00,BAT_013,impedance,3.888,1.936,25.9,2430.3,87.42,137,pass,37
2025-07-07 10:22:00,BAT_018,charge,3.443,1.522,18.3,2430.1,78.1,12,pass,41
2025-07-10 17:29:00,BAT_011,impedance,3.379,1.197,26.9,2435.7,99.26,395,pass,148
2025-06-07 17:14:00,BAT_012,discharge,3.845,2.102,28.1,2915.3,77.15,302,pending,63
2025-07-30 15:04:00,BAT_001,discharge,3.633,1.622,27.8,2576.4,87.94,375,pass,111
2025-07-18 11:09:00,BAT_013,discharge,3.914,1.289,30.4,2586.0,84.39,16,fail,127
